Name,Variable,Type,Data1_avg_5_short_propagation,Data2_avg_5_long_propagation,Notes
Minimum size,minSize,prep,50,50,Minimum size of events to be detected (in pixels)
Spatial smoothing level,smoXY,prep,0.5,2,Spatial smoothing filter size
Active voxels threshold scale,thrARScl,prep,3,0.5,
Temporal cut threshold scale,thrTWScl,prep,10,10,
Seed growing threshold,thrExtZ,prep,1,0.5,
Slowest propgation,cDelay,event,10,10,
Rising phase uncertainty,cRise,event,10,3,
GTW smoothness term,gtwSmo,event,1,1,
GTW windows size,maxStp,event,3,11,Maximum propagation delay
Z score threshold for events,zThr,post,2,2,
Ignore merging step,ignoreMerge,post,1,1,
Maximum merging distance,mergeEventDiscon,post,0,0,
Minimum merging correlation,mergeEventCorr,post,0,0, 
Maximum merging time difference,mergeEventMaxTimeDif,post,2,2,
,,,,,
Remove pixels close to image boundary,regMaskGap,prep,0,0,
Poisson noise model,usePG,prep,1,1,
Frames per segment,cut,prep,1.00E+04,1.00E+04,Cut video to pieces to avoid global trend
Baseline window,movAvgWin,prep,25,25,
Extend super voxels temporally,extendSV,prep,1,1,
Older code for active voxels,legacyModeActRun,prep,1,1,
Time window detection range,getTimeWindowExt,prep,5000,5000,Smaller value for faster run
Pixels for window detection,seedNeib,prep,5,5,
Remove seeds,seedRemoveNeib,prep,5,5,Should be >= seedNeib
Super voxel significance,thrSvSig,prep,4,4,
Smoothing for seed on XY,smoXY_seed,prep,2,1,
Smoothing for seed on T,smoT_seed,prep,4,1,
Check more time,gapExt,event,5,5,
Super events prefer larger,superEventdensityFirst,event,1,1,
Area ratio to find seed curve,gtwGapSeedRatio,event,4,4,Larger for smaller proportion
Area to find seed curve,gtwGapSeedMin,event,5,5,
Spatial overlap threshold,cOver,event,0.2,0.2,
Event show threshold on raw data,minShow1,post,0.05,0.05,
GUI event boundary threshold,minShowEvtGUI,post,0,0,Smaller to show boundary longer
Ignore decay tau calculation,ignoreTau,post,1,1,
Correct baseline trend,correctTrend,post,1,1,The order of the model to correct trend
Extend event temporally after merging,extendEvtRe,post,0,0,
,,,,,
Frame rate,frameRate,prep,0.5,0.5,Second per frame
Spatial resolution,spatialRes,prep,0.5,0.5,Micrometer per pixel
Estimated noise variance,varEst,prep,0.02,0.02,
Foreground threshold,fgFluo,prep,0,0,
Background threshold,bgFluo,prep,0,0,
X cooridante for north vector,northx,prep,0,0,
Y cooridante for north vector,northy,prep,1,1,
